#,Peptide,ACP Score,ACP,AFP Score,AFP,AMP Score,AMP,AVP Score,AVP,ACVP Score,ACVP,Hemolysis Threshold,Hemolysis Conc (ug/ml),Hemolysis /Y/N
224,"seq_epochs_()_num_230",0.37,No,0.35,No,0.15,No,0.93,Yes,0.45,No,20,50.0,Yes
225,"seq_epochs_()_num_231",1.0,Yes,0.57,Yes,0.99,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
226,"seq_epochs_()_num_232",0.08,No,0.04,No,0.04,No,0.18,No,0.97,Yes,20,50.0,No
227,"seq_epochs_()_num_233",0.16,No,0.17,No,0.21,No,0.1,No,0.94,Yes,20,50.0,Yes
228,"seq_epochs_()_num_234",0.68,Yes,0.02,No,0.12,No,0.96,Yes,0.97,Yes,20,50.0,No
229,"seq_epochs_()_num_235",1.0,Yes,0.49,No,0.99,Yes,0.85,Yes,0.9,Yes,20,50.0,Yes
230,"seq_epochs_()_num_236",0.25,No,0.0,No,0.0,No,1.0,Yes,1.0,Yes,20,50.0,No
231,"seq_epochs_()_num_237",1.0,Yes,0.54,Yes,1.0,Yes,1.0,Yes,0.95,Yes,20,50.0,Yes
232,"seq_epochs_()_num_238",0.87,Yes,0.35,No,0.94,Yes,0.98,Yes,0.89,Yes,20,50.0,No
233,"seq_epochs_()_num_239",1.0,Yes,0.91,Yes,0.99,Yes,0.79,Yes,0.88,Yes,20,50.0,Yes
234,"seq_epochs_()_num_240",0.49,Yes,0.19,No,0.5,Yes,0.28,No,0.91,Yes,20,50.0,Yes
235,"seq_epochs_()_num_241",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,Yes
236,"seq_epochs_()_num_242",0.19,No,0.0,No,0.08,No,0.98,Yes,1.0,Yes,20,50.0,No
237,"seq_epochs_()_num_541",1.0,Yes,0.57,Yes,1.0,Yes,0.99,Yes,0.03,No,20,50.0,Yes
238,"seq_epochs_()_num_244",0.46,No,0.2,No,0.45,No,0.62,Yes,0.36,No,20,50.0,Yes
239,"seq_epochs_()_num_245",0.99,Yes,0.97,Yes,0.99,Yes,0.81,Yes,0.89,Yes,20,50.0,Yes
240,"seq_epochs_()_num_246",1.0,Yes,0.71,Yes,0.75,Yes,1.0,Yes,0.72,Yes,20,50.0,No
241,"seq_epochs_()_num_247",0.44,No,0.26,No,0.06,No,0.84,Yes,0.96,Yes,20,50.0,No
242,"seq_epochs_()_num_248",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
243,"seq_epochs_()_num_249",0.94,Yes,0.53,Yes,0.99,Yes,0.98,Yes,0.96,Yes,20,50.0,Yes
244,"seq_epochs_()_num_250",0.7,Yes,0.48,No,0.29,No,0.59,Yes,0.73,Yes,20,50.0,No
245,"seq_epochs_()_num_251",0.17,No,0.06,No,0.65,Yes,0.9,Yes,0.91,Yes,20,50.0,No
246,"seq_epochs_()_num_252",0.71,Yes,0.06,No,0.76,Yes,0.46,No,0.89,Yes,20,50.0,Yes
247,"seq_epochs_()_num_253",0.99,Yes,0.52,Yes,1.0,Yes,1.0,Yes,0.93,Yes,20,50.0,No
248,"seq_epochs_()_num_254",0.08,No,0.01,No,0.02,No,0.92,Yes,0.9,Yes,20,50.0,Yes
249,"seq_epochs_()_num_255",0.63,Yes,0.49,No,0.02,No,0.21,No,0.29,No,20,50.0,No
250,"seq_epochs_()_num_256",1.0,Yes,0.96,Yes,1.0,Yes,1.0,Yes,0.8,Yes,20,50.0,Yes
251,"seq_epochs_()_num_257",0.33,No,0.22,No,0.13,No,0.95,Yes,0.98,Yes,20,50.0,No
252,"seq_epochs_()_num_259",0.02,No,0.02,No,0.02,No,0.11,No,0.98,Yes,20,50.0,No
253,"seq_epochs_()_num_260",0.16,No,0.79,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
254,"seq_epochs_()_num_261",0.99,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.88,Yes,20,50.0,Yes
255,"seq_epochs_()_num_262",1.0,Yes,0.98,Yes,1.0,Yes,0.99,Yes,0.95,Yes,20,50.0,Yes
256,"seq_epochs_()_num_263",0.09,No,0.3,No,0.93,Yes,0.83,Yes,0.99,Yes,20,50.0,No
257,"seq_epochs_()_num_264",0.17,No,0.22,No,0.96,Yes,0.95,Yes,0.81,Yes,20,50.0,Yes
258,"seq_epochs_()_num_265",1.0,Yes,0.93,Yes,1.0,Yes,1.0,Yes,0.85,Yes,20,50.0,Yes
259,"seq_epochs_()_num_266",0.15,No,0.05,No,0.28,No,0.78,Yes,0.91,Yes,20,50.0,No
260,"seq_epochs_()_num_267",1.0,Yes,0.34,No,0.99,Yes,0.98,Yes,0.94,Yes,20,50.0,Yes
261,"seq_epochs_()_num_268",1.0,Yes,0.34,No,0.95,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
262,"seq_epochs_()_num_269",0.4,No,0.23,No,0.9,Yes,0.53,Yes,0.84,Yes,20,50.0,No
263,"seq_epochs_()_num_270",0.99,Yes,0.5,Yes,0.59,Yes,0.94,Yes,0.59,Yes,20,50.0,No
264,"seq_epochs_()_num_271",0.9,Yes,0.34,No,0.93,Yes,0.98,Yes,0.8,Yes,20,50.0,No
265,"seq_epochs_()_num_272",0.19,No,0.07,No,0.12,No,0.96,Yes,0.91,Yes,20,50.0,No
266,"seq_epochs_()_num_273",0.58,Yes,0.05,No,0.46,No,0.8,Yes,0.99,Yes,20,50.0,No
267,"seq_epochs_()_num_274",0.05,No,0.25,No,0.55,Yes,0.48,No,0.83,Yes,20,50.0,No
268,"seq_epochs_()_num_275",0.12,No,0.14,No,0.66,Yes,0.97,Yes,0.93,Yes,20,50.0,No
269,"seq_epochs_()_num_276",1.0,Yes,0.59,Yes,0.96,Yes,0.85,Yes,0.76,Yes,20,50.0,No
270,"seq_epochs_()_num_277",0.81,Yes,0.29,No,0.9,Yes,0.98,Yes,0.96,Yes,20,50.0,Yes
271,"seq_epochs_()_num_278",0.99,Yes,0.91,Yes,1.0,Yes,1.0,Yes,0.74,Yes,20,50.0,No
272,"seq_epochs_()_num_279",0.98,Yes,0.96,Yes,1.0,Yes,0.99,Yes,0.63,Yes,20,50.0,Yes
273,"seq_epochs_()_num_280",0.98,Yes,0.76,Yes,0.99,Yes,0.99,Yes,1.0,Yes,20,50.0,Yes
274,"seq_epochs_()_num_281",0.05,No,0.01,No,0.07,No,0.19,No,0.98,Yes,20,50.0,No
275,"seq_epochs_()_num_282",0.15,No,0.0,No,0.02,No,0.98,Yes,1.0,Yes,20,50.0,No
276,"seq_epochs_()_num_283",0.04,No,0.48,No,0.74,Yes,0.36,No,0.93,Yes,20,50.0,No
277,"seq_epochs_()_num_284",0.99,Yes,0.52,Yes,1.0,Yes,0.76,Yes,0.23,No,20,50.0,No
278,"seq_epochs_()_num_285",0.09,No,0.03,No,0.57,Yes,0.31,No,0.98,Yes,20,50.0,No
279,"seq_epochs_()_num_286",0.08,No,0.09,No,0.64,Yes,0.93,Yes,0.56,Yes,20,50.0,No
280,"seq_epochs_()_num_287",0.05,No,0.46,No,0.85,Yes,0.78,Yes,0.74,Yes,20,50.0,No
281,"seq_epochs_()_num_288",0.99,Yes,0.95,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
282,"seq_epochs_()_num_289",0.97,Yes,0.78,Yes,0.96,Yes,0.98,Yes,0.86,Yes,20,50.0,Yes
283,"seq_epochs_()_num_290",0.8,Yes,0.57,Yes,0.92,Yes,0.79,Yes,0.08,No,20,50.0,No
284,"seq_epochs_()_num_291",0.36,No,0.13,No,0.04,No,0.85,Yes,0.95,Yes,20,50.0,No
285,"seq_epochs_()_num_292",0.7,Yes,0.31,No,0.7,Yes,1.0,Yes,0.7,Yes,20,50.0,No
286,"seq_epochs_()_num_293",0.99,Yes,0.59,Yes,1.0,Yes,0.96,Yes,0.98,Yes,20,50.0,Yes
287,"seq_epochs_()_num_294",1.0,Yes,0.95,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,No
288,"seq_epochs_()_num_295",0.72,Yes,0.39,No,0.95,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
289,"seq_epochs_()_num_296",0.88,Yes,0.5,Yes,0.58,Yes,0.94,Yes,0.19,No,20,50.0,No
290,"seq_epochs_()_num_297",0.96,Yes,0.75,Yes,0.93,Yes,1.0,Yes,0.13,No,20,50.0,No
291,"seq_epochs_()_num_298",0.06,No,0.0,No,0.05,No,0.28,No,0.97,Yes,20,50.0,No
292,"seq_epochs_()_num_299",0.24,No,0.47,No,0.95,Yes,0.88,Yes,0.65,Yes,20,50.0,No
293,"seq_epochs_()_num_300",0.99,Yes,0.36,No,0.98,Yes,1.0,Yes,0.35,No,20,50.0,No
294,"seq_epochs_()_num_301",0.06,No,0.0,No,0.17,No,0.06,No,0.98,Yes,20,50.0,No
295,"seq_epochs_()_num_302",0.07,No,0.02,No,0.18,No,0.51,Yes,0.96,Yes,20,50.0,No
296,"seq_epochs_()_num_303",0.06,No,0.04,No,0.31,No,0.18,No,0.09,No,20,50.0,No
297,"seq_epochs_()_num_304",0.99,Yes,0.72,Yes,1.0,Yes,1.0,Yes,0.87,Yes,20,50.0,Yes
298,"seq_epochs_()_num_305",1.0,Yes,0.75,Yes,1.0,Yes,0.92,Yes,0.92,Yes,20,50.0,No
299,"seq_epochs_()_num_306",0.98,Yes,0.92,Yes,1.0,Yes,0.98,Yes,0.4,No,20,50.0,No
300,"seq_epochs_()_num_307",0.2,No,0.04,No,0.21,No,1.0,Yes,0.86,Yes,20,50.0,No
301,"seq_epochs_()_num_308",0.99,Yes,0.37,No,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,Yes
302,"seq_epochs_()_num_309",0.5,Yes,0.3,No,0.82,Yes,0.81,Yes,0.94,Yes,20,50.0,Yes
303,"seq_epochs_()_num_310",0.95,Yes,0.33,No,0.94,Yes,0.97,Yes,0.7,Yes,20,50.0,Yes
304,"seq_epochs_()_num_311",0.04,No,0.05,No,0.39,No,0.13,No,0.78,Yes,20,50.0,No
305,"seq_epochs_()_num_312",1.0,Yes,0.51,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
306,"seq_epochs_()_num_313",1.0,Yes,0.35,No,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,No
307,"seq_epochs_()_num_314",1.0,Yes,0.24,No,1.0,Yes,0.62,Yes,0.7,Yes,20,50.0,No
308,"seq_epochs_()_num_315",1.0,Yes,0.63,Yes,0.99,Yes,1.0,Yes,0.89,Yes,20,50.0,Yes
309,"seq_epochs_()_num_316",0.74,Yes,0.09,No,0.48,No,0.97,Yes,0.81,Yes,20,50.0,Yes
310,"seq_epochs_()_num_317",0.97,Yes,0.01,No,0.19,No,0.84,Yes,0.55,Yes,20,50.0,Yes
311,"seq_epochs_()_num_318",1.0,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
312,"seq_epochs_()_num_319",0.29,No,0.01,No,0.32,No,0.8,Yes,0.94,Yes,20,50.0,No
313,"seq_epochs_()_num_320",0.96,Yes,0.06,No,0.86,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
314,"seq_epochs_()_num_321",0.98,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.9,Yes,20,50.0,Yes
315,"seq_epochs_()_num_322",0.99,Yes,0.34,No,0.99,Yes,1.0,Yes,0.99,Yes,20,50.0,No
316,"seq_epochs_()_num_323",0.72,Yes,0.24,No,0.43,No,0.97,Yes,0.57,Yes,20,50.0,No
317,"seq_epochs_()_num_324",0.93,Yes,0.82,Yes,0.99,Yes,0.99,Yes,0.81,Yes,20,50.0,No
318,"seq_epochs_()_num_325",0.1,No,0.31,No,0.17,No,0.4,No,0.48,No,20,50.0,Yes
319,"seq_epochs_()_num_326",0.12,No,0.0,No,0.07,No,0.26,No,0.95,Yes,20,50.0,No
320,"seq_epochs_()_num_327",0.92,Yes,0.76,Yes,0.76,Yes,1.0,Yes,0.49,No,20,50.0,No
321,"seq_epochs_()_num_328",0.07,No,0.32,No,0.81,Yes,0.29,No,0.34,No,20,50.0,No
322,"seq_epochs_()_num_329",1.0,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.01,No,20,50.0,No
323,"seq_epochs_()_num_330",0.06,No,0.01,No,0.39,No,0.89,Yes,0.92,Yes,20,50.0,No
324,"seq_epochs_()_num_331",0.46,No,0.7,Yes,0.97,Yes,0.93,Yes,0.44,No,20,50.0,No
325,"seq_epochs_()_num_332",0.45,No,0.0,No,0.0,No,0.04,No,0.28,No,20,50.0,No
326,"seq_epochs_()_num_333",0.9,Yes,0.55,Yes,0.99,Yes,0.93,Yes,0.76,Yes,20,50.0,No
327,"seq_epochs_()_num_334",1.0,Yes,0.74,Yes,1.0,Yes,0.85,Yes,0.92,Yes,20,50.0,No
328,"seq_epochs_()_num_335",0.92,Yes,0.48,No,0.82,Yes,0.74,Yes,0.9,Yes,20,50.0,Yes
329,"seq_epochs_()_num_336",0.43,No,0.04,No,0.69,Yes,0.97,Yes,0.75,Yes,20,50.0,No
330,"seq_epochs_()_num_337",0.99,Yes,0.7,Yes,0.96,Yes,0.92,Yes,0.73,Yes,20,50.0,Yes
331,"seq_epochs_()_num_338",0.22,No,0.01,No,0.02,No,0.09,No,0.43,No,20,50.0,No
332,"seq_epochs_()_num_339",0.96,Yes,0.53,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,No
333,"seq_epochs_()_num_340",0.93,Yes,0.96,Yes,1.0,Yes,1.0,Yes,0.92,Yes,20,50.0,No
334,"seq_epochs_()_num_341",0.07,No,0.22,No,0.19,No,0.31,No,0.93,Yes,20,50.0,Yes
335,"seq_epochs_()_num_342",0.31,No,0.01,No,0.01,No,0.01,No,0.16,No,20,50.0,No
336,"seq_epochs_()_num_343",0.99,Yes,0.52,Yes,1.0,Yes,0.87,Yes,0.18,No,20,50.0,No
337,"seq_epochs_()_num_344",0.2,No,0.21,No,0.16,No,0.17,No,0.95,Yes,20,50.0,No
338,"seq_epochs_()_num_345",0.38,No,0.02,No,0.05,No,1.0,Yes,0.99,Yes,20,50.0,No
339,"seq_epochs_()_num_346",0.68,Yes,0.5,Yes,1.0,Yes,0.99,Yes,0.97,Yes,20,50.0,No
340,"seq_epochs_()_num_347",0.6,Yes,0.03,No,0.08,No,0.99,Yes,0.99,Yes,20,50.0,No
341,"seq_epochs_()_num_348",0.99,Yes,0.8,Yes,1.0,Yes,1.0,Yes,0.84,Yes,20,50.0,Yes
342,"seq_epochs_()_num_349",0.33,No,0.0,No,0.29,No,0.96,Yes,0.99,Yes,20,50.0,No
343,"seq_epochs_()_num_350",0.1,No,0.02,No,0.02,No,0.59,Yes,0.92,Yes,20,50.0,No
344,"seq_epochs_()_num_351",0.24,No,0.33,No,0.87,Yes,0.99,Yes,1.0,Yes,20,50.0,Yes
345,"seq_epochs_()_num_352",1.0,Yes,0.39,No,0.96,Yes,1.0,Yes,0.94,Yes,20,50.0,Yes
346,"seq_epochs_()_num_353",1.0,Yes,0.75,Yes,1.0,Yes,1.0,Yes,0.93,Yes,20,50.0,Yes
347,"seq_epochs_()_num_354",1.0,Yes,0.53,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,No
348,"seq_epochs_()_num_355",0.06,No,0.0,No,0.01,No,0.02,No,0.92,Yes,20,50.0,No
349,"seq_epochs_()_num_356",0.99,Yes,0.94,Yes,1.0,Yes,1.0,Yes,0.91,Yes,20,50.0,No
350,"seq_epochs_()_num_357",1.0,Yes,0.93,Yes,1.0,Yes,1.0,Yes,0.91,Yes,20,50.0,No
351,"seq_epochs_()_num_358",1.0,Yes,0.97,Yes,0.96,Yes,1.0,Yes,0.86,Yes,20,50.0,No
352,"seq_epochs_()_num_359",0.98,Yes,0.8,Yes,0.99,Yes,0.99,Yes,0.91,Yes,20,50.0,No
353,"seq_epochs_()_num_360",1.0,Yes,0.36,No,1.0,Yes,1.0,Yes,0.19,No,20,50.0,No
354,"seq_epochs_()_num_361",0.55,Yes,0.48,No,0.99,Yes,0.77,Yes,0.94,Yes,20,50.0,Yes
355,"seq_epochs_()_num_362",1.0,Yes,0.5,Yes,0.99,Yes,1.0,Yes,0.51,Yes,20,50.0,No
356,"seq_epochs_()_num_363",0.12,No,0.02,No,0.46,No,0.71,Yes,0.99,Yes,20,50.0,No
357,"seq_epochs_()_num_364",0.83,Yes,0.79,Yes,0.87,Yes,0.98,Yes,0.79,Yes,20,50.0,No
358,"seq_epochs_()_num_365",0.03,No,0.42,No,0.11,No,0.03,No,0.71,Yes,20,50.0,No
359,"seq_epochs_()_num_366",0.06,No,0.02,No,0.83,Yes,0.84,Yes,0.98,Yes,20,50.0,No
360,"seq_epochs_()_num_367",1.0,Yes,0.53,Yes,0.99,Yes,0.98,Yes,0.49,No,20,50.0,No
361,"seq_epochs_()_num_368",0.99,Yes,0.48,No,0.95,Yes,0.99,Yes,0.55,Yes,20,50.0,Yes
362,"seq_epochs_()_num_369",1.0,Yes,0.53,Yes,1.0,Yes,0.99,Yes,0.19,No,20,50.0,No
363,"seq_epochs_()_num_370",0.24,No,0.7,Yes,1.0,Yes,0.97,Yes,0.5,Yes,20,50.0,No
364,"seq_epochs_()_num_371",1.0,Yes,0.35,No,0.95,Yes,1.0,Yes,0.96,Yes,20,50.0,No
365,"seq_epochs_()_num_373",0.03,No,0.03,No,0.16,No,0.4,No,0.89,Yes,20,50.0,No
366,"seq_epochs_()_num_374",0.05,No,0.01,No,0.06,No,0.2,No,0.97,Yes,20,50.0,No
367,"seq_epochs_()_num_375",0.03,No,0.03,No,0.2,No,0.17,No,0.97,Yes,20,50.0,No
368,"seq_epochs_()_num_376",0.22,No,0.28,No,0.17,No,0.92,Yes,0.71,Yes,20,50.0,No
369,"seq_epochs_()_num_377",0.99,Yes,0.36,No,1.0,Yes,0.99,Yes,0.73,Yes,20,50.0,No
370,"seq_epochs_()_num_378",0.43,No,0.35,No,0.71,Yes,0.48,No,0.69,Yes,20,50.0,No
371,"seq_epochs_()_num_379",0.04,No,0.07,No,0.18,No,0.82,Yes,0.98,Yes,20,50.0,No
372,"seq_epochs_()_num_380",0.36,No,0.04,No,0.01,No,0.92,Yes,0.94,Yes,20,50.0,Yes
373,"seq_epochs_()_num_381",1.0,Yes,0.97,Yes,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,Yes
374,"seq_epochs_()_num_382",1.0,Yes,1.0,Yes,1.0,Yes,0.99,Yes,0.68,Yes,20,50.0,No
375,"seq_epochs_()_num_383",0.1,No,0.04,No,0.1,No,0.59,Yes,0.97,Yes,20,50.0,No
376,"seq_epochs_()_num_384",0.94,Yes,0.54,Yes,0.92,Yes,0.82,Yes,0.36,No,20,50.0,No
377,"seq_epochs_()_num_385",1.0,Yes,0.51,Yes,0.98,Yes,0.99,Yes,0.79,Yes,20,50.0,No
378,"seq_epochs_()_num_386",0.37,No,0.01,No,0.46,No,0.72,Yes,0.97,Yes,20,50.0,Yes
379,"seq_epochs_()_num_387",0.97,Yes,0.53,Yes,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,No
380,"seq_epochs_()_num_388",0.93,Yes,0.24,No,0.24,No,0.84,Yes,0.94,Yes,20,50.0,Yes
381,"seq_epochs_()_num_389",0.11,No,0.18,No,0.14,No,0.07,No,0.89,Yes,20,50.0,No
382,"seq_epochs_()_num_390",0.94,Yes,0.02,No,0.14,No,0.56,Yes,0.79,Yes,20,50.0,No
383,"seq_epochs_()_num_391",0.95,Yes,0.3,No,0.96,Yes,0.95,Yes,0.9,Yes,20,50.0,No
384,"seq_epochs_()_num_392",0.98,Yes,0.52,Yes,0.98,Yes,0.24,No,0.8,Yes,20,50.0,No
385,"seq_epochs_()_num_393",0.15,No,0.07,No,0.41,No,0.96,Yes,0.94,Yes,20,50.0,No
386,"seq_epochs_()_num_394",0.84,Yes,0.5,No,0.79,Yes,0.96,Yes,0.87,Yes,20,50.0,No
387,"seq_epochs_()_num_395",0.99,Yes,0.99,Yes,0.94,Yes,1.0,Yes,0.95,Yes,20,50.0,Yes
388,"seq_epochs_()_num_396",1.0,Yes,0.54,Yes,1.0,Yes,0.86,Yes,0.35,No,20,50.0,No
389,"seq_epochs_()_num_397",0.13,No,0.03,No,0.08,No,0.17,No,0.89,Yes,20,50.0,Yes
390,"seq_epochs_()_num_398",0.99,Yes,0.54,Yes,0.97,Yes,0.99,Yes,0.97,Yes,20,50.0,No
391,"seq_epochs_()_num_399",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.73,Yes,20,50.0,Yes
392,"seq_epochs_()_num_400",0.99,Yes,0.33,No,1.0,Yes,1.0,Yes,0.9,Yes,20,50.0,No
393,"seq_epochs_()_num_401",0.15,No,0.04,No,0.69,Yes,0.62,Yes,0.82,Yes,20,50.0,No
394,"seq_epochs_()_num_402",1.0,Yes,0.99,Yes,1.0,Yes,0.98,Yes,1.0,Yes,20,50.0,Yes
395,"seq_epochs_()_num_403",0.05,No,0.01,No,0.03,No,0.08,No,0.79,Yes,20,50.0,No
396,"seq_epochs_()_num_404",1.0,Yes,0.51,Yes,0.98,Yes,0.98,Yes,0.66,Yes,20,50.0,No
397,"seq_epochs_()_num_405",0.45,No,0.01,No,0.19,No,0.96,Yes,0.92,Yes,20,50.0,Yes
398,"seq_epochs_()_num_406",0.79,Yes,0.54,Yes,0.52,Yes,0.96,Yes,0.32,No,20,50.0,No
399,"seq_epochs_()_num_407",0.1,No,0.69,Yes,0.66,Yes,0.87,Yes,0.96,Yes,20,50.0,No
400,"seq_epochs_()_num_408",1.0,Yes,0.58,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
401,"seq_epochs_()_num_409",0.89,Yes,0.93,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
402,"seq_epochs_()_num_410",0.09,No,0.0,No,0.24,No,0.22,No,0.98,Yes,20,50.0,Yes
403,"seq_epochs_()_num_411",1.0,Yes,0.5,Yes,1.0,Yes,1.0,Yes,0.94,Yes,20,50.0,No
404,"seq_epochs_()_num_412",0.03,No,0.23,No,0.5,No,0.59,Yes,0.93,Yes,20,50.0,No
405,"seq_epochs_()_num_413",0.16,No,0.0,No,0.11,No,0.28,No,0.68,Yes,20,50.0,No
406,"seq_epochs_()_num_414",0.63,Yes,0.28,No,0.11,No,0.95,Yes,0.43,No,20,50.0,No
407,"seq_epochs_()_num_415",0.99,Yes,0.96,Yes,1.0,Yes,0.98,Yes,1.0,Yes,20,50.0,No
408,"seq_epochs_()_num_416",0.16,No,0.01,No,0.09,No,0.25,No,0.77,Yes,20,50.0,No
409,"seq_epochs_()_num_417",0.25,No,0.01,No,0.13,No,0.32,No,0.96,Yes,20,50.0,No
410,"seq_epochs_()_num_418",0.03,No,0.02,No,0.1,No,0.49,No,0.96,Yes,20,50.0,No
411,"seq_epochs_()_num_419",0.91,Yes,0.32,No,0.9,Yes,1.0,Yes,0.99,Yes,20,50.0,No
412,"seq_epochs_()_num_420",1.0,Yes,0.77,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
413,"seq_epochs_()_num_421",0.25,No,0.18,No,0.57,Yes,0.46,No,0.96,Yes,20,50.0,No
414,"seq_epochs_()_num_422",1.0,Yes,0.51,Yes,0.99,Yes,1.0,Yes,0.49,No,20,50.0,No
415,"seq_epochs_()_num_423",1.0,Yes,0.91,Yes,1.0,Yes,1.0,Yes,0.03,No,20,50.0,Yes
416,"seq_epochs_()_num_424",0.99,Yes,0.7,Yes,1.0,Yes,1.0,Yes,0.55,Yes,20,50.0,No
417,"seq_epochs_()_num_425",0.14,No,0.03,No,0.79,Yes,0.46,No,0.98,Yes,20,50.0,Yes
418,"seq_epochs_()_num_426",0.94,Yes,0.75,Yes,1.0,Yes,0.97,Yes,0.99,Yes,20,50.0,Yes
419,"seq_epochs_()_num_427",0.99,Yes,0.54,Yes,0.97,Yes,1.0,Yes,0.97,Yes,20,50.0,No
420,"seq_epochs_()_num_428",0.78,Yes,0.38,No,0.95,Yes,0.91,Yes,0.28,No,20,50.0,No
421,"seq_epochs_()_num_429",0.02,No,0.01,No,0.12,No,0.54,Yes,0.96,Yes,20,50.0,No
422,"seq_epochs_()_num_430",0.75,Yes,0.24,No,0.47,No,0.93,Yes,0.69,Yes,20,50.0,No
423,"seq_epochs_()_num_431",1.0,Yes,0.52,Yes,1.0,Yes,1.0,Yes,0.8,Yes,20,50.0,Yes
424,"seq_epochs_()_num_432",1.0,Yes,0.75,Yes,0.98,Yes,1.0,Yes,0.85,Yes,20,50.0,Yes
425,"seq_epochs_()_num_433",0.44,No,0.03,No,0.22,No,0.99,Yes,0.92,Yes,20,50.0,No
426,"seq_epochs_()_num_434",0.58,Yes,0.34,No,0.04,No,0.87,Yes,0.08,No,20,50.0,No
427,"seq_epochs_()_num_435",0.85,Yes,0.75,Yes,0.96,Yes,1.0,Yes,0.95,Yes,20,50.0,Yes
428,"seq_epochs_()_num_436",0.46,No,0.0,No,0.02,No,0.33,No,0.99,Yes,20,50.0,No
429,"seq_epochs_()_num_437",1.0,Yes,0.35,No,0.97,Yes,1.0,Yes,0.99,Yes,20,50.0,No
430,"seq_epochs_()_num_438",0.35,No,0.08,No,0.91,Yes,0.89,Yes,0.91,Yes,20,50.0,No
431,"seq_epochs_()_num_439",0.97,Yes,0.56,Yes,0.99,Yes,0.92,Yes,0.92,Yes,20,50.0,No
432,"seq_epochs_()_num_440",0.99,Yes,0.94,Yes,0.96,Yes,0.91,Yes,0.85,Yes,20,50.0,Yes
433,"seq_epochs_()_num_441",1.0,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.81,Yes,20,50.0,Yes
434,"seq_epochs_()_num_442",0.12,No,0.0,No,0.03,No,0.48,No,0.91,Yes,20,50.0,Yes
435,"seq_epochs_()_num_443",0.19,No,0.02,No,0.08,No,0.8,Yes,0.96,Yes,20,50.0,No
436,"seq_epochs_()_num_444",0.11,No,0.0,No,0.01,No,0.02,No,0.94,Yes,20,50.0,No
437,"seq_epochs_()_num_445",0.65,Yes,0.55,Yes,0.87,Yes,0.87,Yes,0.99,Yes,20,50.0,Yes
438,"seq_epochs_()_num_446",0.67,Yes,0.51,Yes,0.59,Yes,0.99,Yes,0.22,No,20,50.0,No
439,"seq_epochs_()_num_447",0.98,Yes,0.51,Yes,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,No
440,"seq_epochs_()_num_448",1.0,Yes,0.99,Yes,1.0,Yes,0.99,Yes,0.84,Yes,20,50.0,No
441,"seq_epochs_()_num_449",0.36,No,0.07,No,0.38,No,0.97,Yes,0.68,Yes,20,50.0,Yes
442,"seq_epochs_()_num_450",0.99,Yes,0.7,Yes,0.98,Yes,0.92,Yes,0.88,Yes,20,50.0,No
443,"seq_epochs_()_num_451",0.5,Yes,0.24,No,0.88,Yes,0.37,No,0.42,No,20,50.0,No
444,"seq_epochs_()_num_452",0.12,No,0.02,No,0.18,No,0.01,No,0.97,Yes,20,50.0,No
445,"seq_epochs_()_num_453",0.02,No,0.01,No,0.15,No,0.69,Yes,0.99,Yes,20,50.0,No
446,"seq_epochs_()_num_454",0.99,Yes,0.81,Yes,0.7,Yes,0.99,Yes,0.94,Yes,20,50.0,No
447,"seq_epochs_()_num_455",1.0,Yes,0.99,Yes,1.0,Yes,0.95,Yes,0.96,Yes,20,50.0,Yes
448,"seq_epochs_()_num_456",0.91,Yes,0.57,Yes,0.97,Yes,1.0,Yes,0.98,Yes,20,50.0,No
449,"seq_epochs_()_num_457",0.67,Yes,0.01,No,0.28,No,0.95,Yes,0.93,Yes,20,50.0,No
